,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,4357000000.0,7552000000.0,3483000000.0,2701000000.0,
Repayment Of Debt,-1815000000.0,-3866000000.0,-14615000000.0,-12201000000.0,
Issuance Of Debt,3931000000.0,0.0,8883000000.0,9713000000.0,
Issuance Of Capital Stock,,0.0,0.0,12269000000.0,848000000.0
Capital Expenditure,-8899000000.0,-7172000000.0,-8014000000.0,-3242000000.0,
Interest Paid Supplemental Data,126000000.0,152000000.0,266000000.0,444000000.0,
Income Tax Paid Supplemental Data,1119000000.0,1203000000.0,561000000.0,115000000.0,
End Cash Position,17189000000.0,16924000000.0,18144000000.0,19901000000.0,
Beginning Cash Position,16924000000.0,18144000000.0,19901000000.0,6783000000.0,
Effect Of Exchange Rate Changes,4000000.0,-444000000.0,-183000000.0,334000000.0,
Changes In Cash,261000000.0,-776000000.0,-1574000000.0,12784000000.0,
Financing Cash Flow,2589000000.0,-3527000000.0,-5203000000.0,9973000000.0,
Cash Flow From Continuing Financing Activities,2589000000.0,-3527000000.0,-5203000000.0,9973000000.0,
Net Other Financing Charges,-227000000.0,-202000000.0,-178000000.0,-225000000.0,
Proceeds From Stock Option Exercised,700000000.0,541000000.0,707000000.0,417000000.0,
Net Common Stock Issuance,,0.0,0.0,12269000000.0,848000000.0
Common Stock Issuance,,0.0,0.0,12269000000.0,848000000.0
Net Issuance Payments Of Debt,2116000000.0,-3866000000.0,-5732000000.0,-2488000000.0,
Net Long Term Debt Issuance,2116000000.0,-3866000000.0,-5732000000.0,-2488000000.0,
Long Term Debt Payments,-1815000000.0,-3866000000.0,-14615000000.0,-12201000000.0,
Long Term Debt Issuance,3931000000.0,0.0,8883000000.0,9713000000.0,
Investing Cash Flow,-15584000000.0,-11973000000.0,-7868000000.0,-3132000000.0,
Cash Flow From Continuing Investing Activities,-15584000000.0,-11973000000.0,-7868000000.0,-3132000000.0,
Net Other Investing Changes,,76000000.0,6000000.0,123000000.0,46000000.0
Net Investment Purchase And Sale,-6621000000.0,-5813000000.0,-132000000.0,0.0,
Sale Of Investment,12491000000.0,22000000.0,0.0,,
Purchase Of Investment,-19112000000.0,-5835000000.0,-132000000.0,0.0,
Net Business Purchase And Sale,-64000000.0,0.0,0.0,-13000000.0,
Sale Of Business,,0.0,0.0,,
Purchase Of Business,-64000000.0,0.0,0.0,-13000000.0,
Net Intangibles Purchase And Sale,0.0,927000000.0,-1228000000.0,-10000000.0,
Sale Of Intangibles,0.0,936000000.0,272000000.0,0.0,
Purchase Of Intangibles,0.0,-9000000.0,-1500000000.0,-10000000.0,
Net PPE Purchase And Sale,-8899000000.0,-7163000000.0,-6514000000.0,-3232000000.0,
Purchase Of PPE,-8899000000.0,-7163000000.0,-6514000000.0,-3232000000.0,
Operating Cash Flow,13256000000.0,14724000000.0,11497000000.0,5943000000.0,
Cash Flow From Continuing Operating Activities,13256000000.0,14724000000.0,11497000000.0,5943000000.0,
Change In Working Capital,-2248000000.0,-3712000000.0,667000000.0,184000000.0,
Change In Other Working Capital,1532000000.0,1131000000.0,793000000.0,328000000.0,
Change In Other Current Liabilities,,1904000000.0,476000000.0,495000000.0,-5000000.0
Change In Other Current Assets,-1952000000.0,-1570000000.0,-2114000000.0,-1416000000.0,
Change In Payables And Accrued Expense,2605000000.0,8029000000.0,5367000000.0,2102000000.0,
Change In Payable,2605000000.0,8029000000.0,5367000000.0,,
Change In Account Payable,2605000000.0,8029000000.0,5367000000.0,,
Change In Prepaid Assets,-2652000000.0,-3713000000.0,-1540000000.0,-251000000.0,
Change In Inventory,-1195000000.0,-6465000000.0,-1709000000.0,-422000000.0,
Change In Receivables,-586000000.0,-1124000000.0,-130000000.0,-652000000.0,
Changes In Account Receivables,-586000000.0,-1124000000.0,-130000000.0,-652000000.0,
Other Non Cash Items,81000000.0,340000000.0,245000000.0,525000000.0,
Stock Based Compensation,1812000000.0,1560000000.0,2121000000.0,1734000000.0,
Asset Impairment Charge,463000000.0,177000000.0,140000000.0,202000000.0,
Deferred Tax,-6349000000.0,-196000000.0,-149000000.0,,
Deferred Income Tax,-6349000000.0,-196000000.0,-149000000.0,,
Depreciation Amortization Depletion,4667000000.0,3747000000.0,2911000000.0,2322000000.0,
Depreciation And Amortization,4667000000.0,3747000000.0,2911000000.0,2322000000.0,
Depreciation,4667000000.0,3747000000.0,2911000000.0,2322000000.0,
Operating Gains Losses,-144000000.0,221000000.0,-82000000.0,114000000.0,
Net Foreign Currency Exchange Gain Loss,-144000000.0,81000000.0,-55000000.0,114000000.0,
Gain Loss On Sale Of PPE,0.0,140000000.0,-27000000.0,0.0,
Net Income From Continuing Operations,14974000000.0,12587000000.0,5644000000.0,862000000.0,
